车型,城市,上牌量,级别,指导价(万元),能源类型,cluster
海鸥,淮安,133,小型车,6.98-8.58,新能源,0
纳米01,杭州,52,小型车,6.58-13.98,燃油车,12
理想L6,大连,133,SUV,24.98-27.98,新能源,9
银河L6,杭州,52,紧凑型车,8.28-14.98,燃油车,3
五菱缤果,海口,52,小型车,5.68-8.88,燃油车,12
理想L9,天津,133,SUV,40.98-43.98,新能源,9
长安CS75 PLUS,海口,52,SUV,11.39-14.99,燃油车,2
博越L,贵阳,52,SUV,9.99-14.97,燃油车,1
雷克萨斯ES,贵阳,52,中大型车,29.69-48.89,燃油车,12
瑞虎8L,广州,52,SUV,12.99-17.49,燃油车,2
元UP,济南,133,SUV,9.68-11.98,新能源,9
海豹06新能源,合肥,133,中型车,9.98-13.98,新能源,7
岚图梦想家,杭州,133,MPV,32.99-63.99,新能源,0
领克07 EM-P,广州,52,中型车,16.98-18.98,燃油车,5
长安启源Q07,福州,52,SUV,12.98-17.18,燃油车,2
极氪7X,广州,133,SUV,22.99-26.99,新能源,9
理想L9,重庆,133,SUV,40.98-43.98,新能源,0
哈弗H9,成都,52,SUV,19.99-24.79,燃油车,13
五菱之光,成都,52,MPV,3.51-3.79,燃油车,1
理想L6,中山,134,SUV,24.98-27.98,新能源,9
铂智3X,长沙,52,SUV,10.98-15.98,燃油车,2
哈弗大狗,长沙,52,SUV,11.99-16.79,燃油车,2
捷达VS5,长沙,52,SUV,8.79-12.19,燃油车,2
极氪7X,苏州,134,SUV,22.99-26.99,新能源,9
奔驰GLB,长沙,52,SUV,31.19-36.79,燃油车,2
凌渡,长沙,52,紧凑型车,14.39-19.09,燃油车,3
宝马X5,长春,52,SUV,61.50-83.00,燃油车,2
逍客,长春,52,SUV,12.59-17.49,燃油车,2
传祺向往S7,北京,51,SUV,17.58-22.98,燃油车,2
秦PLUS,吉林,134,紧凑型车,7.98-17.98,新能源,0
smart精灵#1,北京,51,SUV,15.49-28.49,燃油车,2
北京BJ30,北京,51,SUV,9.99-13.69,燃油车,2
沃尔沃S60,北京,51,中型车,30.69-38.49,燃油车,5
逸动,驻马店,51,紧凑型车,7.29-9.69,燃油车,3
荣威i5,周口,51,紧凑型车,6.89-9.09,燃油车,3
影豹,中山,51,紧凑型车,11.80-15.80,燃油车,3
逍客,中山,51,SUV,12.59-17.49,燃油车,2
五菱缤果,昭通,51,小型车,5.68-8.88,燃油车,12
别克GL8新能源,广州,134,MPV,24.99-41.99,新能源,10
蔚来ET5T,广州,134,中型车,29.80-35.60,新能源,7
小米SU7,上海,1341,中大型车,21.59-29.99,新能源,8
朗逸,运城,51,紧凑型车,8.00-15.19,燃油车,3
长安欧尚X5 PLUS,榆林,51,SUV,9.19-11.49,燃油车,2
朗逸,益阳,51,紧凑型车,8.00-15.19,燃油车,3
小鹏P7+,苏州,135,中大型车,18.68-20.88,新能源,11
坦克300,伊犁,51,SUV,19.98-33.00,燃油车,2
问界M8,青岛,135,SUV,35.98-44.98,新能源,9
奔驰GLC,扬州,51,SUV,42.78-53.13,燃油车,2
海鸥,平顶山,135,小型车,6.98-8.58,新能源,0
秦L,洛阳,135,中型车,9.98-15.38,新能源,7
威兰达,阳江,51,SUV,17.38-26.48,燃油车,2
五菱宏光S,徐州,51,MPV,0.00-0.00,燃油车,1
奥迪A3,徐州,51,紧凑型车,16.59-25.13,燃油车,3
元UP,武汉,135,SUV,9.68-11.98,新能源,9
雷克萨斯ES,徐州,51,中大型车,29.69-48.89,燃油车,12
五菱缤果,宣城,51,小型车,5.68-8.88,燃油车,12
元PLUS,太原,135,SUV,11.58-14.78,新能源,9
坦克400新能源,沈阳,135,SUV,27.98-28.98,新能源,9
星越L,新乡,51,SUV,13.72-17.97,燃油车,2
奔腾小马,邢台,51,微型车,2.49-5.39,燃油车,12
SKY EV01,杭州,135,SUV,14.99-18.99,新能源,9
赛那SIENNA,厦门,51,MPV,29.98-41.18,燃油车,1
亚洲龙,厦门,51,中型车,17.88-27.98,燃油车,4
马自达CX-5,厦门,51,SUV,12.58-19.78,燃油车,2
蔚来ES6,上海,1351,SUV,33.80-39.60,新能源,8
AION S,广州,1352,紧凑型车,13.98-17.98,新能源,8
轩逸,厦门,51,紧凑型车,10.86-17.49,燃油车,10
宏光MINIEV,玉溪,136,微型车,3.28-9.99,新能源,0
秦L,温州,136,中型车,9.98-15.38,新能源,7
凯迪拉克CT5,无锡,51,中型车,28.99-34.59,燃油车,5
AION S,宁波,136,紧凑型车,13.98-17.98,新能源,0
秦PLUS,南阳,136,紧凑型车,7.98-17.98,新能源,0
奥迪Q3,无锡,51,SUV,25.18-29.68,燃油车,2
深蓝S05,临沂,136,SUV,11.99-14.99,新能源,9
海豹05 DM-i,廊坊,136,紧凑型车,7.98-10.38,新能源,0
奇瑞iCAR V23,芜湖,51,SUV,9.98-14.98,燃油车,2
奔驰C级,芜湖,51,中型车,33.48-38.06,燃油车,5
大众ID.3,温州,51,紧凑型车,12.99-15.59,燃油车,3
凌渡,温州,51,紧凑型车,14.39-19.09,燃油车,3
银河星舰7 EM-i,台州,51,SUV,10.38-13.68,燃油车,5
T-ROC探歌,台州,51,SUV,15.89-17.87,燃油车,5
宋L DM-i,乌鲁木齐,136,SUV,13.58-17.58,新能源,9
红旗HS5,唐山,51,SUV,18.38-24.98,燃油车,2
沃尔沃XC60,泰州,51,SUV,39.69-47.49,燃油车,2
途观L,宿州,51,SUV,18.68-26.68,燃油车,2
宋PLUS新能源,南昌,136,SUV,13.58-18.08,新能源,9
腾势D9,济南,136,MPV,33.98-66.00,新能源,0
宝马3系,宿迁,51,中型车,29.99-39.99,燃油车,5
五菱宏光V,绍兴,51,MPV,4.31-5.45,燃油车,1
速腾,绍兴,51,紧凑型车,12.79-17.29,燃油车,3
星瑞,汕头,51,紧凑型车,9.97-14.57,燃油车,3
艾瑞泽8,商丘,51,紧凑型车,9.99-14.89,燃油车,3
唐新能源,重庆,136,SUV,17.98-26.98,新能源,0
蔚来ET5,成都,136,中型车,29.80-35.60,新能源,7
宝马3系,衢州,51,中型车,29.99-39.99,燃油车,5
领克08 EM-P,宁波,51,SUV,18.58-24.88,燃油车,2
本田CR-V,梅州,51,SUV,18.59-26.39,燃油车,2
途观L,眉山,51,SUV,18.68-26.68,燃油车,2
博越L,洛阳,51,SUV,9.99-14.97,燃油车,2
秦PLUS,温州,137,紧凑型车,7.98-17.98,新能源,0
元PLUS,台州,137,SUV,11.58-14.78,新能源,9
缤越,漯河,51,SUV,6.68-10.38,燃油车,2
长安启源Q07,临沂,51,SUV,12.98-17.18,燃油车,2
理想L6,苏州,137,SUV,24.98-27.98,新能源,9
荣威i5,聊城,51,紧凑型车,6.89-9.09,燃油车,3
奔驰GLC,廊坊,51,SUV,42.78-53.13,燃油车,2
本田CR-V,廊坊,51,SUV,18.59-26.39,燃油车,2
探岳,九江,51,SUV,19.89-25.99,燃油车,2
QQ冰淇淋,晋中,51,微型车,2.99-5.69,燃油车,12
红旗H5,济宁,51,中型车,15.98-22.58,燃油车,5
皓影,金华,51,SUV,18.59-26.39,燃油车,2
缤越,金华,51,SUV,6.68-10.38,燃油车,2
秦PLUS,承德,137,紧凑型车,7.98-17.98,新能源,0
迈腾,嘉兴,51,中型车,17.49-24.69,燃油车,6
银河E5,湖州,51,SUV,11.28-14.88,燃油车,2
元UP,南宁,137,SUV,9.68-11.98,新能源,9
汉兰达,兰州,137,SUV,24.98-34.88,新能源,9
五菱缤果,湖州,51,小型车,5.68-8.88,燃油车,12
奥迪Q5L,淮安,51,SUV,34.98-48.88,燃油车,2
奔驰E级,淮安,51,中大型车,44.72-59.98,燃油车,12
五菱宏光S,邯郸,51,MPV,0.00-0.00,燃油车,1
秦L,贵阳,137,中型车,9.98-15.38,新能源,7
阿维塔12,重庆,137,中大型车,26.99-70.00,新能源,0
雅阁,邯郸,51,中型车,17.98-23.88,燃油车,5
威兰达,赣州,51,SUV,17.38-26.48,燃油车,2
迈腾,赣州,51,中型车,17.49-24.69,燃油车,6
星瑞,阜阳,51,紧凑型车,9.97-14.57,燃油车,3
帝豪,阜新,51,紧凑型车,6.29-14.98,燃油车,3
问界M8,汕头,138,SUV,35.98-44.98,新能源,9
豹5,佛山,51,SUV,23.98-32.98,燃油车,2
魏牌 高山,佛山,51,MPV,30.98-40.58,燃油车,1
宏光MINIEV,河池,138,微型车,3.28-9.99,新能源,0
理想L6,鄂尔多斯,138,SUV,24.98-27.98,新能源,9
传祺GS3,佛山,51,SUV,8.58-11.18,燃油车,2
蒙迪欧,佛山,51,中型车,14.98-22.98,燃油车,5
小米SU7,乌鲁木齐,138,中大型车,21.59-29.99,新能源,11
奥迪A6L,东营,51,中大型车,42.79-65.68,燃油车,12
奔驰GLB,东莞,51,SUV,31.19-36.79,燃油车,12
Model 3,太原,138,中型车,23.19-33.95,新能源,7
宋L DM-i,石家庄,138,SUV,13.58-17.58,新能源,9
博越,东莞,51,SUV,9.28-12.58,燃油车,12
凯美瑞,德州,51,中型车,17.18-25.98,燃油车,13
RAV4荣放,大同,51,SUV,16.98-26.38,燃油车,2
智界R7,杭州,138,SUV,24.98-33.98,新能源,9
小鹏G6,杭州,138,SUV,17.68-27.69,新能源,9
长安欧尚X5 PLUS,大庆,51,SUV,9.19-11.49,燃油车,2
宝来,大连,51,紧凑型车,11.29-14.39,燃油车,3
星愿,楚雄,51,小型车,6.88-9.78,燃油车,12
探岳,赤峰,51,SUV,19.89-25.99,燃油车,2
逸动,赤峰,51,紧凑型车,7.29-9.69,燃油车,3
熊猫,朝阳,51,微型车,2.99-5.39,燃油车,1
凯迪拉克CT5,常州,51,中型车,28.99-34.59,燃油车,5
别克GL8新能源,苏州,139,MPV,24.99-41.99,新能源,0
艾瑞泽8,亳州,51,紧凑型车,9.99-14.89,燃油车,3
小鹏G9,深圳,139,SUV,24.88-35.99,新能源,9
纳米01,滨州,51,小型车,6.58-13.98,燃油车,12
宏光MINIEV,泉州,139,微型车,3.28-9.99,新能源,0
捷途X70,毕节,51,SUV,10.69-14.99,燃油车,2
迈腾,包头,51,中型车,17.49-24.69,燃油车,6
长安欧尚X5 PLUS,保定,51,SUV,9.19-11.49,燃油车,2
威兰达,保定,51,SUV,17.38-26.48,燃油车,2
宏光MINIEV,临汾,139,微型车,3.28-9.99,新能源,0
秦PLUS,开封,139,紧凑型车,7.98-17.98,新能源,0
星愿,安顺,51,小型车,6.88-9.78,燃油车,12
宏光MINIEV,东莞,139,微型车,3.28-9.99,新能源,0
海豚,滨州,139,小型车,9.98-12.98,新能源,0
海鸥,包头,139,小型车,6.98-8.58,新能源,0
星愿,阿克苏,51,小型车,6.88-9.78,燃油车,12
捷途旅行者,郑州,51,SUV,13.99-23.99,燃油车,2
路虎卫士,郑州,51,SUV,68.80-171.60,燃油车,2
奔驰GLB,西安,51,SUV,31.19-36.79,燃油车,2
零跑C10,合肥,139,SUV,12.28-16.88,新能源,9
瑞虎8 PRO,乌鲁木齐,51,SUV,11.99-16.69,燃油车,2
奔驰E级,乌鲁木齐,51,中大型车,44.72-59.98,燃油车,12
悦意03,武汉,51,SUV,7.98-12.29,燃油车,2
问界M7,成都,139,SUV,24.98-32.98,新能源,13
汉兰达,长沙,139,SUV,24.98-34.88,新能源,9
小米SU7 Ultra,北京,139,中大型车,52.99-81.49,新能源,11
问界M5,北京,139,SUV,22.98-27.98,新能源,9
汉兰达,北京,139,SUV,24.98-34.88,新能源,9
理想L9,深圳,1397,SUV,40.98-43.98,新能源,8
传祺GS3,武汉,51,SUV,8.58-11.18,燃油车,2
夏,太原,51,MPV,24.98-30.98,燃油车,1
沃尔沃XC90插电式混动,北京,14,SUV,79.59-89.49,新能源,9
逍客,石家庄,51,SUV,12.59-17.49,燃油车,2
乐道L60,沈阳,51,SUV,20.69-25.59,燃油车,2
领克08 EM-P,上海,51,SUV,18.58-24.88,燃油车,2
世纪,上海,51,MPV,46.99-68.99,燃油车,1
红旗E-QM5,拉萨,51,中型车,12.18-23.98,燃油车,5
锐界,兰州,51,SUV,22.68-30.98,燃油车,2
皇冠陆放,昆明,51,SUV,27.78-35.28,燃油车,2
小海狮X30,昆明,51,MPV,3.49-5.19,燃油车,1
奥迪Q3,昆明,51,SUV,25.18-29.68,燃油车,2
银河L6,济南,51,紧凑型车,8.28-14.98,燃油车,3
长安欧尚X5 PLUS,济南,51,SUV,9.19-11.49,燃油车,2
凯迪拉克CT5,济南,51,中型车,28.99-34.59,燃油车,5
捷达VS5,济南,51,SUV,8.79-12.19,燃油车,2
蒙迪欧,济南,51,中型车,14.98-22.98,燃油车,5
捷途山海T2,呼和浩特,51,SUV,17.99-23.99,燃油车,2
阿维塔06,淄博,14,中型车,20.99-27.99,新能源,7
雷克萨斯ES,呼和浩特,51,中大型车,29.69-48.89,燃油车,12
星纪元 ET,淄博,14,SUV,17.28-31.98,新能源,9
君威,杭州,51,中型车,15.98-17.58,燃油车,5
铂智3X,海口,51,SUV,10.98-15.98,燃油车,2
五菱缤果,贵阳,51,小型车,5.68-8.88,燃油车,1
五菱之光新能源,驻马店,14,MPV,4.78-5.08,新能源,1
五菱缤果,广州,51,小型车,5.68-8.88,燃油车,10
传祺GS4,广州,51,SUV,11.58-12.68,燃油车,2
马自达CX-5,广州,51,SUV,12.58-19.78,燃油车,2
跨越星V5,重庆,51,MPV,5.38-6.48,燃油车,1
宝马X3,重庆,51,SUV,34.99-48.69,燃油车,2
枫叶60s,长沙,51,紧凑型车,9.98-16.38,燃油车,3
腾势N9,珠海,14,SUV,38.98-44.98,新能源,9
阿维塔07,珠海,14,SUV,21.99-28.99,新能源,9
哈弗H6,长沙,51,SUV,9.89-14.69,燃油车,2
君越,长沙,51,中型车,17.99-23.99,燃油车,5
长安睿行M60,长春,51,MPV,5.49-6.62,燃油车,1
揽胜,长春,51,SUV,141.20-379.50,燃油车,2
领克08 EM-P,北京,50,SUV,18.58-24.88,燃油车,2
奔驰C级,遵义,50,中型车,33.48-38.06,燃油车,5
汉L,周口,14,中大型车,20.98-27.98,新能源,11
迈腾,驻马店,50,中型车,17.49-24.69,燃油车,6
乐道L60,中山,50,SUV,20.69-25.59,燃油车,2
皇冠陆放,湛江,50,SUV,27.78-35.28,燃油车,2
雷克萨斯ES,漳州,50,中大型车,29.69-48.89,燃油车,12
朗逸,张家口,50,紧凑型车,8.00-15.19,燃油车,3
海豹06新能源,中卫,14,中型车,9.98-13.98,新能源,7
海鸥,中卫,14,小型车,6.98-8.58,新能源,9
驱逐舰05,枣庄,50,紧凑型车,7.98-13.68,燃油车,3
卡罗拉锐放,运城,50,SUV,12.98-18.48,燃油车,2
朗逸,榆林,50,紧凑型车,8.00-15.19,燃油车,3
五菱宏光S,烟台,50,MPV,0.00-0.00,燃油车,1
途岳,盐城,50,SUV,12.59-21.66,燃油车,2
北京越野BJ40增程,镇江,14,SUV,17.98-29.98,新能源,9
长安CS75 PLUS,延安,50,SUV,11.39-14.99,燃油车,2
汉,镇江,14,中大型车,16.58-25.98,新能源,11
海狮05 EV,昭通,14,SUV,11.78-13.78,新能源,9
奔驰GLC,徐州,50,SUV,42.78-53.13,燃油车,2
星愿,忻州,50,小型车,6.88-9.78,燃油车,12
传祺GS3,新乡,50,SUV,8.58-11.18,燃油车,2
捷途旅行者,芜湖,50,SUV,13.99-23.99,燃油车,2
瑞虎9,温州,50,SUV,15.29-20.99,燃油车,2
唐L,湛江,14,SUV,22.98-28.98,新能源,9
海豹05 DM-i,湛江,14,紧凑型车,7.98-10.38,新能源,0
瑞虎8 PRO,温州,50,SUV,11.99-16.69,燃油车,2
威兰达,潍坊,50,SUV,17.38-26.48,燃油车,2
问界M5,湛江,14,SUV,22.98-27.98,新能源,9
亚洲龙,潍坊,50,中型车,17.88-27.98,燃油车,4
宝马X1,潍坊,50,SUV,28.89-34.99,燃油车,2
奥迪Q5L,台州,50,SUV,34.98-48.88,燃油车,2
凌渡,台州,50,紧凑型车,14.39-19.09,燃油车,3
哈弗猛龙新能源,张掖,14,SUV,16.58-19.28,新能源,9
海鸥,张掖,14,小型车,6.98-8.58,新能源,9
朗逸,铜仁,50,紧凑型车,8.00-15.19,燃油车,3
卡罗拉锐放,通辽,50,SUV,12.98-18.48,燃油车,2
秦新能源,张掖,14,紧凑型车,16.88-16.88,新能源,0
途观L,泰安,50,SUV,18.68-26.68,燃油车,2
伊兰特,苏州,50,紧凑型车,9.98-14.98,燃油车,3
风云T9,深圳,50,SUV,12.99-19.39,燃油车,2
RAV4荣放,邵阳,50,SUV,16.98-26.38,燃油车,2
本田CR-V,韶关,50,SUV,18.59-26.39,燃油车,2
卡罗拉,泉州,50,紧凑型车,11.68-15.58,燃油车,3
帝豪,齐齐哈尔,50,紧凑型车,6.29-14.98,燃油车,3
五菱宏光V,青岛,50,MPV,4.31-5.45,燃油车,1
奔驰GLB,青岛,50,SUV,31.19-36.79,燃油车,2
秦L,张家界,14,中型车,9.98-15.38,新能源,7
元PLUS,张家界,14,SUV,11.58-14.78,新能源,9
帕萨特,黔西南,50,中型车,16.45-23.99,燃油车,5
AION UT,枣庄,14,小型车,6.98-10.18,新能源,9
马自达CX-5,宁波,50,SUV,12.58-19.78,燃油车,2
昂科威Plus,南阳,50,SUV,22.99-25.99,燃油车,2
宝马X3,南通,50,SUV,34.99-48.69,燃油车,2
探岳,绵阳,50,SUV,19.89-25.99,燃油车,2
雷克萨斯ES,梅州,50,中大型车,29.69-48.89,燃油车,12
帕萨特,泸州,50,中型车,16.45-23.99,燃油车,5
大众ID.3,临沂,50,紧凑型车,12.99-15.59,燃油车,3
卡罗拉,临沂,50,紧凑型车,11.68-15.58,燃油车,3
雅阁,聊城,50,中型车,17.98-23.88,燃油车,5
北京EU5,来宾,50,紧凑型车,12.99-17.19,燃油车,3
长安CS75 PLUS,酒泉,50,SUV,11.39-14.99,燃油车,2
锋兰达,九江,50,SUV,12.58-18.48,燃油车,2
宋L DM-i,云浮,14,SUV,13.58-17.58,新能源,9
长安启源Q07,济宁,50,SUV,12.98-17.18,燃油车,2
宝马5系,济宁,50,中大型车,43.99-52.59,燃油车,12
零跑C11,云浮,14,SUV,14.88-20.98,新能源,9
五菱宏光V,嘉兴,50,MPV,4.31-5.45,燃油车,1
零跑T03,玉林,14,微型车,4.99-6.99,新能源,9
宝马X1,嘉兴,50,SUV,28.89-34.99,燃油车,2
轩逸,焦作,50,紧凑型车,10.86-17.49,燃油车,10
问界M9,岳阳,14,SUV,46.98-56.98,新能源,9
理想L6,岳阳,14,SUV,24.98-27.98,新能源,9
问界M5,岳阳,14,SUV,22.98-27.98,新能源,9
赛那SIENNA,江门,50,MPV,29.98-41.18,燃油车,1
逍客,江门,50,SUV,12.59-17.49,燃油车,2
唐新能源,永州,14,SUV,17.98-26.98,新能源,9
速腾,吉安,50,紧凑型车,12.79-17.29,燃油车,3
奥迪A4L,湖州,50,中型车,28.98-40.08,燃油车,5
速腾,惠州,50,紧凑型车,12.79-17.29,燃油车,3
宝来,菏泽,50,紧凑型车,11.29-14.39,燃油车,3
元UP,榆林,14,SUV,9.68-11.98,新能源,9
RAV4荣放,赣州,50,SUV,16.98-26.38,燃油车,2
firefly萤火虫,佛山,50,小型车,11.98-12.58,燃油车,12
宝马X5,佛山,50,SUV,61.50-83.00,燃油车,2
零跑C10,益阳,14,SUV,12.28-16.88,新能源,9
领克900,东莞,50,SUV,30.99-41.69,燃油车,12
汉,益阳,14,中大型车,16.58-25.98,新能源,11
汉兰达,益阳,14,SUV,24.98-34.88,新能源,9
秦L,鹰潭,14,中型车,9.98-15.38,新能源,7
格瑞维亚,东莞,50,MPV,29.98-41.68,燃油车,12
长安CS75,大庆,50,SUV,10.29-11.99,燃油车,2
缤越,大连,50,SUV,6.68-10.38,燃油车,2
五菱宏光S,大理,50,MPV,0.00-0.00,燃油车,1
北京BJ30,赤峰,50,SUV,9.99-13.69,燃油车,2
迈腾,承德,50,中型车,17.49-24.69,燃油车,6
海豹06GT,宜春,14,中型车,13.68-18.68,新能源,7
宋Pro新能源,宜春,14,SUV,10.28-14.28,新能源,9
易至EV3,宜春,14,微型车,5.28-6.68,新能源,9
迈腾,长治,50,中型车,17.49-24.69,燃油车,6
本田CR-V,昌吉,50,SUV,18.59-26.39,燃油车,2
阿维塔07,宜昌,14,SUV,21.99-28.99,新能源,9
君越,沧州,50,中型车,17.99-23.99,燃油车,5
AION Y,宜昌,14,SUV,9.98-14.58,新能源,9
本田CR-V,本溪,50,SUV,18.59-26.39,燃油车,2
捷达VS5,保定,50,SUV,8.79-12.19,燃油车,2
小鹏P7+,宜宾,14,中大型车,18.68-20.88,新能源,11
五菱之光,保定,50,MPV,3.51-3.79,燃油车,1
海狮07 EV,宜宾,14,SUV,18.98-23.98,新能源,9
腾势D9,宜宾,14,MPV,33.98-66.00,新能源,1
东风风神E70,安康,50,紧凑型车,14.28-15.38,燃油车,3
卡罗拉锐放,阿克苏,50,SUV,12.98-18.48,燃油车,2
传祺E8,郑州,50,MPV,16.68-23.58,燃油车,1
汉兰达,宜宾,14,SUV,24.98-34.88,新能源,9
小麒麟,郑州,50,微型车,4.99-5.19,燃油车,12
奔腾B70,郑州,50,中型车,9.88-14.49,燃油车,5
汉L,烟台,14,中大型车,20.98-27.98,新能源,11
奔驰GLC,银川,50,SUV,42.78-53.13,燃油车,2
阿维塔06,烟台,14,中型车,20.99-27.99,新能源,11
宝马3系,银川,50,中型车,29.99-39.99,燃油车,5
领克Z20,西安,50,SUV,13.89-15.39,燃油车,2
问界M7,烟台,14,SUV,24.98-32.98,新能源,9
铂智3X,乌鲁木齐,50,SUV,10.98-15.98,燃油车,2
红旗E-QM5,乌鲁木齐,50,中型车,12.18-23.98,燃油车,5
雷克萨斯ES,乌鲁木齐,50,中大型车,29.69-48.89,燃油车,12
领克Z20,武汉,50,SUV,13.89-15.39,燃油车,2
宋L DM-i,扬州,14,SUV,13.58-17.58,新能源,9
智界R7,扬州,14,SUV,24.98-33.98,新能源,9
蔚来ET5T,扬州,14,中型车,29.80-35.60,新能源,7
AION Y,扬州,14,SUV,9.98-14.58,新能源,9
领克07 EM-P,武汉,50,中型车,16.98-18.98,燃油车,5
宋L DM-i,阳泉,14,SUV,13.58-17.58,新能源,9
奔驰GLE,武汉,50,SUV,69.98-88.98,燃油车,2
汉,阳江,14,中大型车,16.58-25.98,新能源,11
长安欧尚X5 PLUS,太原,50,SUV,9.19-11.49,燃油车,2
唐L,盐城,14,SUV,22.98-28.98,新能源,9
阿维塔07,盐城,14,SUV,21.99-28.99,新能源,9
问界M7,盐城,14,SUV,24.98-32.98,新能源,9
途昂,太原,50,SUV,24.90-38.90,燃油车,2
五菱宏光S,太原,50,MPV,0.00-0.00,燃油车,1
海豹06新能源,延安,14,中型车,9.98-13.98,新能源,7
五菱之光,太原,50,MPV,3.51-3.79,燃油车,1
小米SU7 Ultra,徐州,14,中大型车,52.99-81.49,新能源,11
银河星耀8,石家庄,50,中大型车,12.58-16.58,燃油车,12
领克900,石家庄,50,SUV,30.99-41.69,燃油车,2
小鹏G9,徐州,14,SUV,24.88-35.99,新能源,9
蔚来ET5,徐州,14,中型车,29.80-35.60,新能源,7
豹5,石家庄,50,SUV,23.98-32.98,燃油车,2
传祺M8,石家庄,50,MPV,17.98-34.28,燃油车,1
君威,沈阳,50,中型车,15.98-17.58,燃油车,5
欧拉好猫,上海,50,小型车,10.58-13.58,燃油车,6
哈弗H6,上海,50,SUV,9.89-14.69,燃油车,2
深蓝S05,许昌,14,SUV,11.99-14.99,新能源,9
魏牌 蓝山,南京,50,SUV,27.38-32.68,燃油车,2
吉利几何A,南京,50,紧凑型车,14.38-20.78,燃油车,3
捷途旅行者,兰州,50,SUV,13.99-23.99,燃油车,2
皇冠陆放,兰州,50,SUV,27.78-35.28,燃油车,2
途昂,济南,50,SUV,24.90-38.90,燃油车,2
卡罗拉锐放,呼和浩特,50,SUV,12.98-18.48,燃油车,2
传祺M8,合肥,50,MPV,17.98-34.28,燃油车,1
哈弗猛龙新能源,忻州,14,SUV,16.58-19.28,新能源,9
宝马5系,海口,50,中大型车,43.99-52.59,燃油车,12
铂智3X,哈尔滨,50,SUV,10.98-15.98,燃油车,2
传祺GS8,哈尔滨,50,SUV,15.98-24.68,燃油车,2
奔驰C级,哈尔滨,50,中型车,33.48-38.06,燃油车,5
卡罗拉,哈尔滨,50,紧凑型车,11.68-15.58,燃油车,3
问界M9,信阳,14,SUV,46.98-56.98,新能源,9
豹5,贵阳,50,SUV,23.98-32.98,燃油车,1
捷途山海T2,广州,50,SUV,17.99-23.99,燃油车,2
红旗H5,福州,50,中型车,15.98-22.58,燃油车,5
红旗HS5,福州,50,SUV,18.38-24.98,燃油车,2
宝马i3,重庆,50,中型车,35.39-41.39,燃油车,5
宋L EV,新乡,14,SUV,18.98-24.98,新能源,9
理想L9,新乡,14,SUV,40.98-43.98,新能源,9
北京X7,重庆,50,SUV,11.99-13.99,燃油车,2
奔驰GLB,重庆,50,SUV,31.19-36.79,燃油车,2
马自达3 昂克赛拉,重庆,50,紧凑型车,8.99-18.99,燃油车,3
五菱之光新能源,邢台,14,MPV,4.78-5.08,新能源,1
海豹05 DM-i,邢台,14,紧凑型车,7.98-10.38,新能源,0
零跑C16,邢台,14,SUV,15.18-18.98,新能源,9
君越,重庆,50,中型车,17.99-23.99,燃油车,5
岚图梦想家,邢台,14,MPV,32.99-63.99,新能源,1
荣威D6,成都,50,紧凑型车,9.98-13.98,燃油车,3
纳米01,成都,50,小型车,6.58-13.98,燃油车,13
海狮05 DM-i,兴安盟,14,SUV,10.28-14.28,新能源,9
奥迪A5,成都,50,中型车,37.98-49.88,燃油车,7
领克06,长沙,50,SUV,10.86-13.26,燃油车,2
雷克萨斯NX,长沙,50,SUV,31.88-54.88,燃油车,2
深蓝S07,孝感,14,SUV,14.99-20.79,新能源,9
红旗HS3,长春,50,SUV,14.58-19.58,燃油车,2
凯迪拉克CT5,北京,49,中型车,28.99-34.59,燃油车,5
宝马4系,北京,49,中型车,37.99-57.69,燃油车,5
AION UT,咸阳,14,小型车,6.98-10.18,新能源,9
君威,北京,49,中型车,15.98-17.58,燃油车,5
五菱宏光S,淄博,49,MPV,0.00-0.00,燃油车,1
宝马3系,淄博,49,中型车,29.99-39.99,燃油车,5
途岳,镇江,49,SUV,12.59-21.66,燃油车,2
凯美瑞,镇江,49,中型车,17.18-25.98,燃油车,13
星愿,永州,49,小型车,6.88-9.78,燃油车,12
奥迪A4L,扬州,49,中型车,28.98-40.08,燃油车,5
汉兰达,咸宁,14,SUV,24.98-34.88,新能源,9
奥迪A6L,扬州,49,中大型车,42.79-65.68,燃油车,12
海狮05 DM-i,襄阳,14,SUV,10.28-14.28,新能源,9
小鹏P7+,襄阳,14,中大型车,18.68-20.88,新能源,11
宝马5系,扬州,49,中大型车,43.99-52.59,燃油车,12
唐新能源,襄阳,14,SUV,17.98-26.98,新能源,9
君威,盐城,49,中型车,15.98-17.58,燃油车,5
途岳,徐州,49,SUV,12.59-21.66,燃油车,2
长安Lumin,信阳,49,微型车,3.79-6.59,燃油车,12
海豹06GT,湘潭,14,中型车,13.68-18.68,新能源,7
深蓝S07,湘潭,14,SUV,14.99-20.79,新能源,9
速腾,信阳,49,紧凑型车,12.79-17.29,燃油车,3
北京BJ30,兴安盟,49,SUV,9.99-13.69,燃油车,2
纳米01,厦门,49,小型车,6.58-13.98,燃油车,12
宝马X3,无锡,49,SUV,34.99-48.69,燃油车,2
五菱之光新能源,厦门,14,MPV,4.78-5.08,新能源,1
捷途自由者,芜湖,49,SUV,12.49-15.49,燃油车,2
海狮05 DM-i,厦门,14,SUV,10.28-14.28,新能源,9
欧萌达,芜湖,49,SUV,10.99-12.99,燃油车,2
